Codi INE,Municipi,Comarca,Domèstic Xarxa 2023,Activitats Econòmiques 2023,Total 2023
43060,FLIX,"RIBERA D'EBRE, LA        ",206094,588921,795015
25092,"FLORESTA, LA","GARRIGUES, LES           ",5506,431,5937
08082,FOGARS DE LA SELVA,"SELVA, LA                ",87119,218903,306022
08081,FOGARS DE MONTCLUS,"VALLÈS ORIENTAL, EL      ",18343,9281,27624
17068,FOIXA,"BAIX EMPORDÀ, EL         ",33602,10649,44251
08083,FOLGUEROLES,OSONA                    ,80815,51751,132566
25093,FONDARELLA,"PLA D'URGELL, EL         ",29606,50018,79624
08084,FONOLLOSA,"BAGES, EL                ",67861,38258,106119
17069,FONTANALS DE CERDANYA,"CERDANYA, LA             ",70655,329315,399970
17070,FONTANILLES,"BAIX EMPORDÀ, EL         ",15858,5344,21202
17071,FONTCOBERTA,"PLA DE L'ESTANY, EL      ",53302,20149,73451
08085,FONT-RUBI,"ALT PENEDÈS, L'          ",64337,51819,116156
25094,FORADADA,"NOGUERA, LA              ",10662,14604,25266
17902,FORALLAC,"BAIX EMPORDÀ, EL         ",97699,125249,222948
43061,FORES,"CONCA DE BARBERÀ, LA     ",2076,11,2087
17073,FORNELLS DE LA SELVA,"GIRONÈS, EL     ",104613,78101,182714
17074,FORTIA,"ALT EMPORDÀ, L'          ",30949,11052,42001
08086,"FRANQUESES DEL VALLES, LES","VALLÈS ORIENTAL, EL      ",730766,629238,1360004
43062,FREGINALS,"MONTSIÀ, EL              ",12680,4153,16833
25096,"FULIOLA, LA","URGELL, L'               ",53683,27603,81286
25097,FULLEDA,"GARRIGUES, LES           ",10595,280,10875
08090,GAIA,"BAGES, EL                ",6750,41421,48171
43063,"GALERA, LA","MONTSIÀ, EL              ",29992,27269,57261
08087,GALLIFA,"VALLÈS OCCIDENTAL, EL    ",6061,402,6463
43064,GANDESA,TERRA ALTA               ,102416,65210,167626
43065,GARCIA,"RIBERA D'EBRE, LA        ",22183,3745,25928
43066,"GARIDELLS, ELS","ALT CAMP, L'             ",8001,10703,18704
08088,"GARRIGA, LA","VALLÈS ORIENTAL, EL      ",623146,326933,950079
17075,GARRIGAS,"ALT EMPORDÀ, L'          ",21157,33583,54740
17076,GARRIGOLES,"BAIX EMPORDÀ, EL         ",13391,16743,30134
17077,GARRIGUELLA,"ALT EMPORDÀ, L'          ",45791,31924,77715
08089,GAVA,"BAIX LLOBREGAT, EL       ",1893975,720189,2614164
25098,GAVET DE LA CONCA,"PALLARS JUSSÀ, EL        ",9438,793,10231
08091,GELIDA,"ALT PENEDÈS, L'          ",327544,344781,672325
17078,GER,"CERDANYA, LA             ",41791,34475,76266
25912,GIMENELLS I EL PLA DE LA FONT,"SEGRIÀ, EL               ",44084,13142,57226
43067,GINESTAR,"RIBERA D'EBRE, LA        ",28199,1157,29356
17079,GIRONA,"GIRONÈS, EL     ",3906056,2734819,6640875
08092,GIRONELLA,"BERGUEDÀ, EL             ",148837,58137,206974
08093,GISCLARENY,"BERGUEDÀ, EL             ",1379,1238,2617
43068,GODALL,"MONTSIÀ, EL              ",20844,8826,29670
25099,GOLMES,"PLA D'URGELL, EL         ",86835,18519,105354
17080,GOMBREN,"RIPOLLÈS, EL             ",6547,2745,9292
25100,GOSOL,"BERGUEDÀ, EL             ",58734,2256,60990
08094,"GRANADA, LA","ALT PENEDÈS, L'          ",76485,29722,106207
25101,"GRANADELLA, LA","GARRIGUES, LES           ",25315,6778,32093
08095,GRANERA,Moianès,4044,707,4751
25102,"GRANJA D'ESCARP, LA","SEGRIÀ, EL               ",37481,7458,44939
08096,GRANOLLERS,"VALLÈS ORIENTAL, EL      ",2256709,1762874,4019583
25103,GRANYANELLA,"SEGARRA, LA              ",1588,30358,31946
25105,GRANYENA DE LES GARRIGUES,"GARRIGUES, LES           ",5859,1217,7076
25104,GRANYENA DE SEGARRA,"SEGARRA, LA              ",6116,0,6116
43069,GRATALLOPS,"PRIORAT, EL              ",7853,8405,16258
08097,GUALBA,"VALLÈS ORIENTAL, EL      ",91179,108579,199758
17081,GUALTA,"BAIX EMPORDÀ, EL         ",37366,409722,447088
