any,municipi,sexe,concepte,estat,valor
2023,Bescanó,dones,població,,2582
2023,Bescanó,total,població,,5178
2023,Beuda,homes,població,,109
2023,Beuda,dones,població,,103
2023,Beuda,total,població,,212
2023,Bigues i Riells del Fai,homes,població,,5032
2023,Bigues i Riells del Fai,dones,població,,4917
2023,Bigues i Riells del Fai,total,població,,9949
2023,Biosca,homes,població,,101
2023,Biosca,dones,població,,83
2023,Biosca,total,població,,184
2023,"Bisbal d'Empordà, la",homes,població,,5696
2023,"Bisbal d'Empordà, la",dones,població,,5687
2023,"Bisbal d'Empordà, la",total,població,,11383
2023,"Bisbal de Montsant, la",homes,població,,118
2023,"Bisbal de Montsant, la",dones,població,,89
2023,"Bisbal de Montsant, la",total,població,,207
2023,"Bisbal del Penedès, la",homes,població,,2168
2023,"Bisbal del Penedès, la",dones,població,,1980
2023,"Bisbal del Penedès, la",total,població,,4148
2023,Biure,homes,població,,130
2023,Biure,dones,població,,110
2023,Biure,total,població,,240
2023,Blancafort,homes,població,,202
2023,Blancafort,dones,població,,191
2023,Blancafort,total,població,,393
2023,Blanes,homes,població,,20715
2023,Blanes,dones,població,,20938
2023,Blanes,total,població,,41653
2023,Boadella i les Escaules,homes,població,,131
2023,Boadella i les Escaules,dones,població,,131
2023,Boadella i les Escaules,total,població,,262
2023,Bolvir,homes,població,,257
2023,Bolvir,dones,població,,249
2023,Bolvir,total,població,,506
2023,Bonastre,homes,població,,403
2023,Bonastre,dones,població,,342
2023,Bonastre,total,població,,745
2023,"Bòrdes, Es",homes,població,,156
2023,"Bòrdes, Es",dones,població,,122
2023,"Bòrdes, Es",total,població,,278
2023,Bordils,homes,població,,902
2023,Bordils,dones,població,,892
2023,Bordils,total,població,,1794
2023,"Borges Blanques, les",homes,població,,3171
2023,"Borges Blanques, les",dones,població,,3044
2023,"Borges Blanques, les",total,població,,6215
2023,"Borges del Camp, les",homes,població,,1127
2023,"Borges del Camp, les",dones,població,,1067
2023,"Borges del Camp, les",total,població,,2194
2023,Borrassà,homes,població,,410
2023,Borrassà,dones,població,,387
2023,Borrassà,total,població,,797
2023,Borredà,homes,població,,243
2023,Borredà,dones,població,,187
2023,Borredà,total,població,,430
2023,Bossòst,homes,població,,555
2023,Bossòst,dones,població,,582
2023,Bossòst,total,població,,1137
2023,Bot,homes,població,,284
2023,Bot,dones,població,,275
2023,Bot,total,població,,559
2023,Botarell,homes,població,,588
2023,Botarell,dones,població,,568
2023,Botarell,total,població,,1156
2023,Bovera,homes,població,,138
2023,Bovera,dones,població,,120
2023,Bovera,total,població,,258
2023,Bràfim,homes,població,,348
2023,Bràfim,dones,població,,345
2023,Bràfim,total,població,,693
2023,Breda,homes,població,,1909
2023,Breda,dones,població,,1989
2023,Breda,total,població,,3898
2023,"Bruc, el",homes,població,,1195
2023,"Bruc, el",dones,població,,1073
2023,"Bruc, el",total,població,,2268
2023,"Brull, el",homes,població,,156
2023,"Brull, el",dones,població,,131
2023,"Brull, el",total,població,,287
2023,Brunyola i Sant Martí Sapresa,homes,població,,204
2023,Brunyola i Sant Martí Sapresa,dones,població,,194
2023,Brunyola i Sant Martí Sapresa,total,població,,398
2023,Cabacés,homes,població,,168
2023,Cabacés,dones,població,,136
2023,Cabacés,total,població,,304
2023,Cabanabona,homes,població,,28
2023,Cabanabona,dones,població,,33
2023,Cabanabona,total,població,,61
2023,Cabanelles,homes,població,,152
2023,Cabanelles,dones,població,,124
2023,Cabanelles,total,població,,276
2023,Cabanes,homes,població,,492
2023,Cabanes,dones,població,,449
2023,Cabanes,total,població,,941
2023,"Cabanyes, les",homes,població,,513
2023,"Cabanyes, les",dones,població,,485
2023,"Cabanyes, les",total,població,,998
2023,Cabó,homes,població,,50
2023,Cabó,dones,població,,49
2023,Cabó,total,població,,99
2023,Cabra del Camp,homes,població,,669
2023,Cabra del Camp,dones,població,,613
2023,Cabra del Camp,total,població,,1282
2023,Cabrera d'Anoia,homes,població,,892
2023,Cabrera d'Anoia,dones,població,,773
2023,Cabrera d'Anoia,total,població,,1665
2023,Cabrera de Mar,homes,població,,2480
2023,Cabrera de Mar,dones,població,,2465
2023,Cabrera de Mar,total,població,,4945
2023,Cabrils,homes,població,,3858
2023,Cabrils,dones,població,,3941
2023,Cabrils,total,població,,7799
2023,Cadaqués,homes,població,,1419
2023,Cadaqués,dones,població,,1493
2023,Cadaqués,total,població,,2912
2023,Calaf,homes,població,,1797
2023,Calaf,dones,població,,1769
2023,Calaf,total,població,,3566
2023,Calafell,homes,població,,15345
2023,Calafell,dones,població,,15286
2023,Calafell,total,població,,30631
2023,Calders,homes,població,,565
2023,Calders,dones,població,,532
2023,Calders,total,població,,1097
2023,Caldes d'Estrac,homes,població,,1543
2023,Caldes d'Estrac,dones,població,,1680
2023,Caldes d'Estrac,total,població,,3223
2023,Caldes de Malavella,homes,població,,4183
2023,Caldes de Malavella,dones,població,,4235
2023,Caldes de Malavella,total,població,,8418
2023,Caldes de Montbui,homes,població,,9023
2023,Caldes de Montbui,dones,població,,9086
2023,Caldes de Montbui,total,població,,18109
2023,Calella,homes,població,,9569
2023,Calella,dones,població,,10293
2023,Calella,total,població,,19862
2023,Calldetenes,homes,població,,1323
2023,Calldetenes,dones,població,,1278
2023,Calldetenes,total,població,,2601
2023,Callús,homes,població,,1029
2023,Callús,dones,població,,1070
2023,Callús,total,població,,2099
2023,Calonge de Segarra,homes,població,,95
2023,Calonge de Segarra,dones,població,,93
2023,Calonge de Segarra,total,població,,188
2023,Calonge i Sant Antoni,homes,població,,6001
2023,Calonge i Sant Antoni,dones,població,,6042
2023,Calonge i Sant Antoni,total,població,,12043
2023,Camarasa,homes,població,,402
2023,Camarasa,dones,població,,384
2023,Camarasa,total,població,,786
2023,Camarles,homes,població,,1709
2023,Camarles,dones,població,,1623
2023,Camarles,total,població,,3332
2023,Cambrils,homes,població,,17829
2023,Cambrils,dones,població,,18667
2023,Cambrils,total,població,,36496
2023,Camós,homes,població,,354
2023,Camós,dones,població,,365
2023,Camós,total,població,,719
2023,Campdevànol,homes,població,,1584
2023,Campdevànol,dones,població,,1628
2023,Campdevànol,total,població,,3212
2023,Campelles,homes,població,,89
